iter	Passed	Remaining
0	88	44035
1	121	30253
2	155	25706
3	188	23335
4	220	21878
5	253	20895
6	287	20247
7	320	19695
8	354	19328
9	386	18947
10	419	18666
11	452	18392
12	486	18220
13	521	18098
14	555	17952
15	588	17804
16	622	17678
17	655	17551
18	688	17439
19	722	17336
20	756	17244
21	788	17124
22	821	17034
23	854	16953
24	888	16873
25	920	16776
26	953	16700
27	986	16628
28	1019	16563
29	1052	16488
30	1085	16421
31	1118	16363
32	1151	16301
33	1184	16229
34	1217	16178
35	1250	16118
36	1283	16061
37	1316	16000
38	1349	15947
39	1382	15899
40	1415	15848
41	1448	15790
42	1481	15740
43	1513	15683
44	1546	15634
45	1578	15581
46	1611	15534
47	1644	15485
48	1677	15440
49	1710	15394
50	1743	15352
51	1777	15310
52	1811	15274
53	1844	15232
54	1878	15198
55	1912	15160
56	1946	15129
57	1980	15093
58	2014	15055
59	2047	15013
60	2080	14975
61	2115	14941
62	2148	14905
63	2182	14870
64	2216	14833
65	2249	14791
66	2282	14751
67	2315	14710
68	2348	14672
69	2381	14628
70	2415	14592
71	2448	14557
72	2482	14518
73	2514	14476
74	2548	14439
75	2580	14398
76	2614	14361
77	2646	14319
78	2680	14283
79	2715	14253
80	2748	14218
81	2781	14179
82	2815	14145
83	2848	14106
84	2882	14072
85	2918	14048
86	2951	14012
87	2985	13979
88	3019	13943
89	3052	13903
90	3085	13869
91	3118	13830
92	3151	13793
93	3185	13757
94	3218	13722
95	3252	13686
96	3285	13651
97	3318	13612
98	3352	13578
99	3385	13541
100	3419	13507
101	3452	13471
102	3486	13438
103	3520	13404
104	3555	13373
105	3588	13336
106	3621	13302
107	3654	13264
108	3688	13231
109	3723	13199
110	3757	13167
111	3789	13129
112	3823	13095
113	3856	13058
114	3890	13025
115	3923	12988
116	3958	12956
117	3990	12919
118	4024	12883
119	4057	12848
120	4090	12813
121	4123	12775
122	4156	12740
123	4189	12703
124	4223	12669
125	4256	12634
126	4290	12600
127	4324	12566
128	4357	12532
129	4390	12495
130	4423	12459
131	4456	12423
132	4489	12388
133	4522	12351
134	4556	12320
135	4590	12286
136	4623	12250
137	4656	12213
138	4689	12180
139	4722	12142
140	4755	12107
141	4788	12072
142	4821	12037
143	4855	12004
144	4889	11970
145	4922	11936
146	4955	11900
147	4988	11863
148	5021	11828
149	5054	11793
150	5087	11758
151	5121	11724
152	5155	11693
153	5188	11658
154	5222	11623
155	5254	11587
156	5288	11552
157	5320	11517
158	5353	11481
159	5387	11447
160	5421	11414
161	5453	11378
162	5487	11344
163	5520	11309
164	5559	11288
165	5592	11251
166	5626	11218
167	5658	11183
168	5691	11147
169	5724	11111
170	5757	11076
171	5789	11041
172	5823	11007
173	5856	10972
174	5891	10940
175	5923	10904
176	5956	10870
177	5989	10834
178	6022	10800
179	6055	10765
180	6089	10731
181	6124	10701
182	6157	10666
183	6190	10631
184	6223	10597
185	6256	10562
186	6289	10527
187	6322	10492
188	6355	10458
189	6388	10424
190	6422	10390
191	6455	10355
192	6488	10321
193	6521	10286
194	6554	10252
195	6588	10218
196	6621	10184
197	6654	10149
198	6687	10115
199	6720	10080
200	6753	10046
201	6786	10011
202	6819	9976
203	6851	9940
204	6883	9906
205	6916	9870
206	6953	9842
207	6986	9807
208	7019	9773
209	7052	9739
210	7085	9704
211	7117	9669
212	7150	9635
213	7184	9601
214	7217	9566
215	7249	9531
216	7282	9497
217	7314	9461
218	7347	9427
219	7379	9392
220	7413	9358
221	7446	9325
